#          \hbar \omega(eV)    Oscillator strength
       0.220000000000000E+01  0.862111271002207E-01
       0.220100000000000E+01  0.863254575695374E-01
       0.220200000000000E+01  0.864399320235873E-01
       0.220300000000000E+01  0.865545506898843E-01
       0.220400000000000E+01  0.866693137964281E-01
       0.220500000000000E+01  0.867842215717032E-01
       0.220600000000000E+01  0.868992742446857E-01
       0.220700000000000E+01  0.870144720448389E-01
       0.220800000000000E+01  0.871298152021173E-01
       0.220900000000000E+01  0.872453039469683E-01
       0.221000000000000E+01  0.873609385103322E-01
       0.221100000000000E+01  0.874767191236437E-01
       0.221200000000000E+01  0.875926460188338E-01
       0.221300000000000E+01  0.877087194283316E-01
       0.221400000000000E+01  0.878249395850629E-01
       0.221500000000000E+01  0.879413067224571E-01
       0.221600000000000E+01  0.880578210744409E-01
       0.221700000000000E+01  0.881744828754457E-01
       0.221800000000000E+01  0.882912923604077E-01
       0.221900000000000E+01  0.884082497647663E-01
       0.222000000000000E+01  0.885253553244693E-01
       0.222100000000000E+01  0.886426092759722E-01
       0.222200000000000E+01  0.887600118562399E-01
       0.222300000000000E+01  0.888775633027480E-01
       0.222400000000000E+01  0.889952638534832E-01
       0.222500000000000E+01  0.891131137469469E-01
       0.222600000000000E+01  0.892311132221563E-01
       0.222700000000000E+01  0.893492625186424E-01
       0.222800000000000E+01  0.894675618764564E-01
       0.222900000000000E+01  0.895860115361665E-01
       0.223000000000000E+01  0.897046117388620E-01
       0.223100000000000E+01  0.898233627261543E-01
       0.223200000000000E+01  0.899422647401785E-01
       0.223300000000000E+01  0.900613180235927E-01
       0.223400000000000E+01  0.901805228195825E-01
       0.223500000000000E+01  0.902998793718608E-01
       0.223600000000000E+01  0.904193879246687E-01
       0.223700000000000E+01  0.905390487227777E-01
       0.223800000000000E+01  0.906588620114919E-01
       0.223900000000000E+01  0.907788280366468E-01
       0.224000000000000E+01  0.908989470446144E-01
       0.224100000000000E+01  0.910192192823021E-01
       0.224200000000000E+01  0.911396449971544E-01
       0.224300000000000E+01  0.912602244371545E-01
       0.224400000000000E+01  0.913809578508269E-01
       0.224500000000000E+01  0.915018454872376E-01
       0.224600000000000E+01  0.916228875959956E-01
       0.224700000000000E+01  0.917440844272551E-01
